role_name,required_skills
Data Analyst,"python, sql, excel, pandas, power bi, tableau, matplotlib, seaborn"
Machine Learning Engineer,"python, machine learning, scikit-learn, fastapi, docker, mlflow, sql, deep learning, xgboost"
AI Engineer,"python, tensorflow, pytorch, llm, nlp, docker, fastapi, generative ai, hugging face"
NLP Engineer,"python, nlp, pytorch, llm, git, linux, spacy, hugging face, nltk"
Computer Vision Engineer,"python, opencv, pytorch, cplusplus, docker, deep learning, tensorflow"
Data Scientist,"python, r, sql, machine learning, pandas, numpy, scikit-learn, tableau, deep learning"
MLOps Engineer,"python, docker, kubernetes, mlflow, aws, linux, git, github actions, terraform"
Prompt Engineer,"python, llm, nlp, generative ai, hugging face, prompt engineering"
Data Engineer,"python, sql, apache spark, apache kafka, aws, snowflake, postgresql, mongodb"
Backend Developer,"python, java, sql, postgresql, mongodb, fastapi, docker, git, nodejs, django"
Frontend Developer,"javascript, typescript, reactjs, html, css, git, vue, figma"
Full Stack Developer,"javascript, typescript, reactjs, nodejs, sql, mongodb, docker, git, html, css"
Cloud Architect,"aws, azure, gcp, kubernetes, docker, terraform, linux, sql, bash"
Embedded Systems Engineer,"cplusplus, c, rtos, microcontrollers, linux, git, python, embedded c"
IoT Engineer,"cplusplus, python, microcontrollers, aws, linux, c, mqtt"
DevOps Engineer,"linux, docker, kubernetes, aws, terraform, jenkins, bash, git, github actions"
Software Engineer,"python, java, cplusplus, sql, git, agile, docker, javascript"
Cybersecurity Analyst,"python, linux, bash, sql, networking, security"
